id,date,revenue
736,2019-01-08,
737,2019-01-09,27762.69
738,2019-01-10,
739,2019-01-11,
740,2019-01-12,
741,2019-01-13,538842.09
742,2019-01-14,
743,2019-01-15,
744,2019-01-16,113286
745,2019-01-17,
746,2019-01-18,
747,2019-01-19,
748,2019-01-20,
749,2019-01-21,648377.06
750,2019-01-22,
751,2019-01-23,2002.87
752,2019-01-24,276255.01
753,2019-01-25,
754,2019-01-26,
755,2019-01-27,433446.54
756,2019-01-28,386068.16
757,2019-01-29,84034.71
758,2019-01-30,25969.01
759,2019-01-31,126763.38
760,2019-02-01,
761,2019-02-02,
762,2019-02-03,388649.19
763,2019-02-04,174653.29
764,2019-02-05,488782.78
765,2019-02-06,233105.19
766,2019-02-07,
767,2019-02-08,
768,2019-02-09,
769,2019-02-10,
770,2019-02-11,
771,2019-02-12,
772,2019-02-13,98880.46
773,2019-02-14,
774,2019-02-15,
775,2019-02-16,
776,2019-02-17,298047.44
777,2019-02-18,
778,2019-02-19,82729.59
779,2019-02-20,37286.11
780,2019-02-21,614066.94
781,2019-02-22,
782,2019-02-23,
783,2019-02-24,218469.53
784,2019-02-25,80626.27
785,2019-02-26,74153.96
786,2019-02-27,338770.61
787,2019-02-28,261897.12
788,2019-03-01,
789,2019-03-02,
790,2019-03-03,
791,2019-03-04,461171.36
792,2019-03-05,
793,2019-03-06,12675.17
794,2019-03-07,636986.6
795,2019-03-08,
796,2019-03-09,
797,2019-03-10,104157.26
798,2019-03-11,456645.05
799,2019-03-12,142812.78
800,2019-03-13,43001.51
801,2019-03-14,400261.65
802,2019-03-15,
803,2019-03-16,
804,2019-03-17,198615.34
805,2019-03-18,28864.02
806,2019-03-19,96908.77
807,2019-03-20,206740.75
808,2019-03-21,836366.92
809,2019-03-22,
810,2019-03-23,
811,2019-03-24,473007.94
812,2019-03-25,40175.8
813,2019-03-26,28589.08
814,2019-03-27,155199.55
815,2019-03-28,434738.67
816,2019-03-29,
817,2019-03-30,
818,2019-03-31,590922.91
819,2019-04-01,387157.01
820,2019-04-02,
821,2019-04-03,84643.14
822,2019-04-04,395654.38
823,2019-04-05,
824,2019-04-06,
825,2019-04-07,104630.84
826,2019-04-08,341919.96
827,2019-04-09,235197.82
828,2019-04-10,
829,2019-04-11,580494.81
830,2019-04-12,
831,2019-04-13,
832,2019-04-14,
833,2019-04-15,17975.53
834,2019-04-16,
835,2019-04-17,168106.22
836,2019-04-18,
837,2019-04-19,
838,2019-04-20,
839,2019-04-21,528253.62
840,2019-04-22,31468.36
841,2019-04-23,71652.74
842,2019-04-24,282435.35
843,2019-04-25,330562.72
844,2019-04-26,415583.52
845,2019-04-27,
846,2019-04-28,243916.57
847,2019-04-29,168538.12
848,2019-04-30,195934.68
849,2019-05-01,293988.02
850,2019-05-02,71291.34
